title,start_time,end_time,exercise_title,set_index,set_type,weight_lbs,reps,duration_seconds,date,typeOfExercise,primary_muscle_group
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Stretching,0,normal,,,300.0,2026-05-25,timed,other
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Chest Supported Reverse Fly (Dumbbell),0,normal,5.0,8.0,,2026-05-25,weighted,shoulders
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Chest Supported Reverse Fly (Dumbbell),1,normal,5.0,10.0,,2026-05-25,weighted,shoulders
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Hammer Curl (Dumbbell),0,normal,10.0,10.0,,2026-05-25,weighted,biceps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Hammer Curl (Dumbbell),1,normal,10.0,8.0,,2026-05-25,weighted,biceps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Dumbbell Row,0,normal,10.0,8.0,,2026-05-25,weighted,lats
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Dumbbell Row,1,normal,10.0,8.0,,2026-05-25,weighted,lats
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Pullover (Dumbbell),0,normal,10.0,8.0,,2026-05-25,weighted,lats
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Pullover (Dumbbell),1,normal,10.0,6.0,,2026-05-25,weighted,lats
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Shrug (Dumbbell),0,normal,10.0,10.0,,2026-05-25,weighted,traps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Shrug (Dumbbell),1,normal,15.0,10.0,,2026-05-25,weighted,traps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Shrug (Dumbbell),2,normal,15.0,10.0,,2026-05-25,weighted,traps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Chest Supported Incline Row (Dumbbell),0,normal,7.0,10.0,,2026-05-25,weighted,upper_back
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Chest Supported Incline Row (Dumbbell),1,normal,10.0,12.0,,2026-05-25,weighted,upper_back
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Hanging Knee Raise,0,normal,,8.0,,2026-05-25,bodyweight,abdominals
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Triceps Kickback (Dumbbell),0,normal,5.0,8.0,,2026-05-25,weighted,triceps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Triceps Kickback (Dumbbell),1,normal,5.0,8.0,,2026-05-25,weighted,triceps
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Shoulder Press (Dumbbell),0,normal,10.0,10.0,,2026-05-25,weighted,shoulders
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Shoulder Press (Dumbbell),1,normal,10.0,6.0,,2026-05-25,weighted,shoulders
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Romanian Deadlift (Dumbbell),0,normal,10.0,8.0,,2026-05-25,weighted,hamstrings
Afternoon workout 💪,2026-05-25 17:07:00,2026-05-25 17:48:00,Romanian Deadlift (Dumbbell),1,normal,5.0,10.0,,2026-05-25,weighted,hamstrings
Evening workout 🏋️,2026-05-24 20:47:00,2026-05-24 21:12:00,Walking,0,normal,,,1500.0,2026-05-24,timed,cardio
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Squat (Bodyweight),0,normal,,10.0,,2026-05-23,bodyweight,quadriceps
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Squat (Bodyweight),1,normal,,10.0,,2026-05-23,bodyweight,quadriceps
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Bent Over Row (Band),0,normal,,10.0,,2026-05-23,bodyweight,upper_back
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Bent Over Row (Band),1,normal,,10.0,,2026-05-23,bodyweight,upper_back
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Bent Over Row (Band),2,normal,,10.0,,2026-05-23,bodyweight,upper_back
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Incline Push Ups,0,normal,,10.0,,2026-05-23,bodyweight,chest
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Incline Push Ups,1,normal,,10.0,,2026-05-23,bodyweight,chest
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Glute Bridge,0,normal,,10.0,,2026-05-23,bodyweight,glutes
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Glute Bridge,1,normal,,10.0,,2026-05-23,bodyweight,glutes
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Heel Taps,0,normal,,10.0,,2026-05-23,bodyweight,abdominals
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Heel Taps,1,normal,,8.0,,2026-05-23,bodyweight,abdominals
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Dead Bug,0,normal,,8.0,,2026-05-23,bodyweight,abdominals
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Dead Bug,1,normal,,7.0,,2026-05-23,bodyweight,abdominals
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Plank,0,normal,,,34.0,2026-05-23,timed,abdominals
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Plank,1,normal,,,30.0,2026-05-23,timed,abdominals
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,Push Up,0,normal,,2.0,,2026-05-23,bodyweight,chest
Home - Mon/Thurs/Sat,2026-05-23 22:42:00,2026-05-23 23:01:00,HIIT,0,normal,,,600.0,2026-05-23,timed,cardio
Afternoon workout 💪,2026-05-19 12:45:00,2026-05-19 13:00:00,HIIT,0,normal,,,600.0,2026-05-19,timed,cardio
Afternoon workout 💪,2026-05-19 12:45:00,2026-05-19 13:00:00,HIIT,1,normal,,,300.0,2026-05-19,timed,cardio
Afternoon workout 💪,2026-05-18 16:13:00,2026-05-18 16:57:00,HIIT,0,normal,,,300.0,2026-05-18,timed,cardio
Afternoon workout 💪,2026-05-18 16:13:00,2026-05-18 16:57:00,HIIT,1,normal,,,2311.0,2026-05-18,timed,cardio
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Squat (Bodyweight),0,normal,,10.0,,2026-05-11,bodyweight,quadriceps
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Squat (Bodyweight),1,normal,,10.0,,2026-05-11,bodyweight,quadriceps
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Bent Over Row (Band),0,normal,,10.0,,2026-05-11,bodyweight,upper_back
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Bent Over Row (Band),1,normal,,10.0,,2026-05-11,bodyweight,upper_back
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Bent Over Row (Band),2,normal,,10.0,,2026-05-11,bodyweight,upper_back
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Dead Bug,0,normal,,10.0,,2026-05-11,bodyweight,abdominals
Home - Mon/Thurs/Sat,2026-05-11 21:45:00,2026-05-11 23:09:00,Dead Bug,1,normal,,10.0,,2026-05-11,bodyweight,abdominals
GYM - Monday/Friday,2026-05-05 13:57:00,2026-05-05 14:32:00,Dead Bug,0,normal,,10.0,,2026-05-05,bodyweight,abdominals
GYM - Monday/Friday,2026-05-05 13:57:00,2026-05-05 14:32:00,Dead Bug,1,normal,,10.0,,2026-05-05,bodyweight,abdominals
