"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Band Pullaparts",,"",1,"normal",,12,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Band Pullaparts",,"",2,"normal",,12,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Kneeling Push Up",,"",0,"normal",,7,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Kneeling Push Up",,"",1,"normal",,7,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Bent Over Row (Band)",,"",0,"normal",,12,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Bent Over Row (Band)",,"",1,"normal",,10,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Bird Dog",,"",0,"normal",,8,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",10,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",10,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",10,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Chest Fly (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Chest Fly (Dumbbell)",,"",1,"normal",5,6,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Chest Fly (Dumbbell)",,"",2,"normal",5,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Incline Bench Press (Dumbbell)",,"",0,"normal",10,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",5,10,,,
